Age,Attrition,DailyRate,Department,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,1102.0,Sales,1.0,2.0,94.0,3.0,2.0,Sales Executive,4.0,5993.0,19479.0,8.0,Yes,11.0,3.0,1.0,8.0,1.0,6.0,4.0,0.0
49,No,279.0,Research & Development,8.0,3.0,61.0,2.0,2.0,Research Scientist,2.0,5130.0,24907.0,1.0,No,23.0,4.0,4.0,10.0,3.0,10.0,7.0,1.0
37,Yes,1373.0,Research & Development,2.0,4.0,92.0,2.0,1.0,Laboratory Technician,3.0,2090.0,2396.0,6.0,Yes,15.0,3.0,2.0,7.0,3.0,0.0,0.0,0.0
33,No,1392.0,Research & Development,3.0,4.0,56.0,3.0,1.0,Research Scientist,3.0,2909.0,23159.0,1.0,Yes,11.0,3.0,3.0,8.0,3.0,8.0,7.0,3.0
27,No,591.0,Research & Development,2.0,1.0,40.0,3.0,1.0,Laboratory Technician,2.0,3468.0,16632.0,9.0,No,12.0,3.0,4.0,6.0,3.0,2.0,2.0,2.0
32,No,1005.0,Research & Development,2.0,4.0,79.0,3.0,1.0,Laboratory Technician,4.0,3068.0,11864.0,0.0,No,13.0,3.0,3.0,8.0,2.0,7.0,7.0,3.0
59,No,1324.0,Research & Development,3.0,3.0,81.0,4.0,1.0,Laboratory Technician,1.0,2670.0,9964.0,4.0,Yes,20.0,4.0,1.0,12.0,2.0,1.0,0.0,0.0
30,No,1358.0,Research & Development,24.0,4.0,67.0,3.0,1.0,Laboratory Technician,3.0,2693.0,13335.0,1.0,No,22.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0
38,No,216.0,Research & Development,23.0,4.0,44.0,2.0,3.0,Manufacturing Director,3.0,9526.0,8787.0,0.0,No,21.0,4.0,2.0,10.0,3.0,9.0,7.0,1.0
36,No,1299.0,Research & Development,27.0,3.0,94.0,3.0,2.0,Healthcare Representative,3.0,5237.0,16577.0,6.0,No,13.0,3.0,2.0,17.0,2.0,7.0,7.0,7.0
35,No,809.0,Research & Development,16.0,1.0,84.0,4.0,1.0,Laboratory Technician,2.0,2426.0,16479.0,0.0,No,13.0,3.0,3.0,6.0,3.0,5.0,4.0,0.0
29,No,153.0,Research & Development,15.0,4.0,49.0,2.0,2.0,Laboratory Technician,3.0,4193.0,12682.0,0.0,Yes,12.0,3.0,4.0,10.0,3.0,9.0,5.0,0.0
31,No,670.0,Research & Development,26.0,1.0,31.0,3.0,1.0,Research Scientist,3.0,2911.0,15170.0,1.0,No,17.0,3.0,4.0,5.0,2.0,5.0,2.0,4.0
34,No,1346.0,Research & Development,19.0,2.0,93.0,3.0,1.0,Laboratory Technician,4.0,2661.0,8758.0,0.0,No,11.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0
28,Yes,103.0,Research & Development,24.0,3.0,50.0,2.0,1.0,Laboratory Technician,3.0,2028.0,12947.0,5.0,Yes,14.0,3.0,2.0,6.0,3.0,4.0,2.0,0.0
29,No,1389.0,Research & Development,21.0,2.0,51.0,4.0,3.0,Manufacturing Director,1.0,9980.0,10195.0,1.0,No,11.0,3.0,3.0,10.0,3.0,10.0,9.0,8.0
32,No,334.0,Research & Development,5.0,1.0,80.0,4.0,1.0,Research Scientist,2.0,3298.0,15053.0,0.0,Yes,12.0,3.0,4.0,7.0,2.0,6.0,2.0,0.0
22,No,1123.0,Research & Development,16.0,4.0,96.0,4.0,1.0,Laboratory Technician,4.0,2935.0,7324.0,1.0,Yes,13.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0
53,No,1219.0,Sales,2.0,1.0,78.0,2.0,4.0,Manager,4.0,15427.0,22021.0,2.0,No,16.0,3.0,3.0,31.0,3.0,25.0,8.0,3.0
38,No,371.0,Research & Development,2.0,4.0,45.0,3.0,1.0,Research Scientist,4.0,3944.0,4306.0,5.0,Yes,11.0,3.0,3.0,6.0,3.0,3.0,2.0,1.0
